SourceFile,Artist,Performer,Album,Title,Date,Genre,TrackNumber,Tracktotal,Cddb,Comment,Duration,Composer
"./CD001 Johann Sebastian Bach - Bach Edition, I: Orchestral Works_Chamber Music (disc 1)/01 - Musica Amphion, Pieter-Jan Belder - Brandenburg Concerto no. 1 in F major, BWV 1046: I. Allegro.flac",Bach J.S.,"Musica Amphion, Pieter-Jan Belder",Brandenburg Concertos 1-3,"Brandenburg Concerto no. 1 in F major, BWV 1046: I. Allegro",2006,,1,,,,00:03:54,"Bach, Johann Sebastian (1685-1750)"
"./CD001 Johann Sebastian Bach - Bach Edition, I: Orchestral Works_Chamber Music (disc 1)/02 - Musica Amphion, Pieter-Jan Belder - Brandenburg Concerto no. 1 in F major, BWV 1046: II. Adagio.flac",Bach J.S.,"Musica Amphion, Pieter-Jan Belder",Brandenburg Concertos 1-3,"Brandenburg Concerto no. 1 in F major, BWV 1046: II. Adagio",2006,,2,,,,00:03:34,"Bach, Johann Sebastian (1685-1750)"
"./CD001 Johann Sebastian Bach - Bach Edition, I: Orchestral Works_Chamber Music (disc 1)/03 - Musica Amphion, Pieter-Jan Belder - Brandenburg Concerto no. 1 in F major, BWV 1046: III. Allegro.flac",Bach J.S.,"Musica Amphion, Pieter-Jan Belder",Brandenburg Concertos 1-3,"Brandenburg Concerto no. 1 in F major, BWV 1046: III. Allegro",2006,,3,,,,00:04:06,"Bach, Johann Sebastian (1685-1750)"
"./CD001 Johann Sebastian Bach - Bach Edition, I: Orchestral Works_Chamber Music (disc 1)/04 - Musica Amphion, Pieter-Jan Belder - Brandenburg Concerto no. 1 in F major, BWV 1046: IV. Menuetto.flac",Bach J.S.,"Musica Amphion, Pieter-Jan Belder",Brandenburg Concertos 1-3,"Brandenburg Concerto no. 1 in F major, BWV 1046: IV. Menuetto",2006,,4,,,,00:08:04,"Bach, Johann Sebastian (1685-1750)"
"./CD001 Johann Sebastian Bach - Bach Edition, I: Orchestral Works_Chamber Music (disc 1)/05 - Musica Amphion, Pieter-Jan Belder - Brandenburg Concerto no. 2 in F major, BWV 1047: I. Allegro.flac",Bach J.S.,"Musica Amphion, Pieter-Jan Belder",Brandenburg Concertos 1-3,"Brandenburg Concerto no. 2 in F major, BWV 1047: I. Allegro",2006,,5,,,,00:04:48,"Bach, Johann Sebastian (1685-1750)"
"./CD001 Johann Sebastian Bach - Bach Edition, I: Orchestral Works_Chamber Music (disc 1)/06 - Musica Amphion, Pieter-Jan Belder - Brandenburg Concerto no. 2 in F major, BWV 1047: II. Andante.flac",Bach J.S.,"Musica Amphion, Pieter-Jan Belder",Brandenburg Concertos 1-3,"Brandenburg Concerto no. 2 in F major, BWV 1047: II. Andante",2006,,6,,,,00:03:15,"Bach, Johann Sebastian (1685-1750)"
"./CD001 Johann Sebastian Bach - Bach Edition, I: Orchestral Works_Chamber Music (disc 1)/07 - Musica Amphion, Pieter-Jan Belder - Brandenburg Concerto no. 2 in F major, BWV 1047: III. Allegro assai.flac",Bach J.S.,"Musica Amphion, Pieter-Jan Belder",Brandenburg Concertos 1-3,"Brandenburg Concerto no. 2 in F major, BWV 1047: III. Allegro assai",2006,,7,,,,00:02:43,"Bach, Johann Sebastian (1685-1750)"
"./CD001 Johann Sebastian Bach - Bach Edition, I: Orchestral Works_Chamber Music (disc 1)/08 - Musica Amphion, Pieter-Jan Belder - Brandenburg Concerto no. 3 in G major, BWV 1048: I. Allegro.flac",Bach J.S.,"Musica Amphion, Pieter-Jan Belder",Brandenburg Concertos 1-3,"Brandenburg Concerto no. 3 in G major, BWV 1048: I. Allegro",2006,,8,,,,00:05:19,"Bach, Johann Sebastian (1685-1750)"
"./CD001 Johann Sebastian Bach - Bach Edition, I: Orchestral Works_Chamber Music (disc 1)/09 - Musica Amphion, Pieter-Jan Belder - Brandenburg Concerto no. 3 in G major, BWV 1048: II. Adagio.flac",Bach J.S.,"Musica Amphion, Pieter-Jan Belder",Brandenburg Concertos 1-3,"Brandenburg Concerto no. 3 in G major, BWV 1048: II. Adagio",2006,,9,,,,00:00:21,"Bach, Johann Sebastian (1685-1750)"
"./CD001 Johann Sebastian Bach - Bach Edition, I: Orchestral Works_Chamber Music (disc 1)/10 - Musica Amphion, Pieter-Jan Belder - Brandenburg Concerto no. 3 in G major, BWV 1048: III. Allegro.flac",Bach J.S.,"Musica Amphion, Pieter-Jan Belder",Brandenburg Concertos 1-3,"Brandenburg Concerto no. 3 in G major, BWV 1048: III. Allegro",2006,,10,,,,00:04:45,"Bach, Johann Sebastian (1685-1750)"
"./CD002 Johann Sebastian Bach - Bach Edition, I: Orchestral Works_Chamber Music (disc 2)/01 - Musica Amphion, Pieter-Jan Belder - Brandenburg Concerto no. 4 in G major, BWV 1049: I. Allegro.flac",Bach J.S.,"Musica Amphion, Pieter-Jan Belder",Brandenburg Concertos 4-6,"Brandenburg Concerto no. 4 in G major, BWV 1049: I. Allegro",2006,,1,,,,00:06:41,"Bach, Johann Sebastian (1685-1750)"
"./CD002 Johann Sebastian Bach - Bach Edition, I: Orchestral Works_Chamber Music (disc 2)/02 - Musica Amphion, Pieter-Jan Belder - Brandenburg Concerto no. 4 in G major, BWV 1049: II. Andante.flac",Bach J.S.,"Musica Amphion, Pieter-Jan Belder",Brandenburg Concertos 4-6,"Brandenburg Concerto no. 4 in G major, BWV 1049: II. Andante",2006,,2,,,,00:03:30,"Bach, Johann Sebastian (1685-1750)"
"./CD002 Johann Sebastian Bach - Bach Edition, I: Orchestral Works_Chamber Music (disc 2)/03 - Musica Amphion, Pieter-Jan Belder - Brandenburg Concerto no. 4 in G major, BWV 1049: III. Presto.flac",Bach J.S.,"Musica Amphion, Pieter-Jan Belder",Brandenburg Concertos 4-6,"Brandenburg Concerto no. 4 in G major, BWV 1049: III. Presto",2006,,3,,,,00:04:34,"Bach, Johann Sebastian (1685-1750)"
